[  490.064677] loop_size:226 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.065398] loop_size:227 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.066119] loop_size:228 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.066845] loop_size:229 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.067567] loop_size:230 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.068290] loop_size:231 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.069012] loop_size:232 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.069733] loop_size:233 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.070456] loop_size:234 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.071194] loop_size:235 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.071916] loop_size:236 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.072638] loop_size:237 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.073360] loop_size:238 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.074075] loop_size:239 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.074803] loop_size:240 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.075525] loop_size:241 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.076248] loop_size:242 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.076970] loop_size:243 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.077693] loop_size:244 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.078413] loop_size:245 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.079145] loop_size:246 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.079867] loop_size:247 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.080589] loop_size:248 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.081310] loop_size:249 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.082030] loop_size:250 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.082759] loop_size:251 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.083475] loop_size:252 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.084195] loop_size:253 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.084911] loop_size:254 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.085631] loop_size:255 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.086351] loop_size:256 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.087037] loop_size:257 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.087753] loop_size:258 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.088467] loop_size:259 >>>> variance(cycles): 32; max_deviation: 252; min time: 44
[  490.089189] loop_size:260 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.089911] loop_size:261 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.090634] loop_size:262 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.091348] loop_size:263 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.092071] loop_size:264 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.092792] loop_size:265 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.093515] loop_size:266 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.094236] loop_size:267 >>>> variance(cycles): 2; max_deviation: 52; min time: 44
[  490.094959] loop_size:268 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.095682] loop_size:269 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.096403] loop_size:270 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.097123] loop_size:271 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.097844] loop_size:272 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.098564] loop_size:273 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.099293] loop_size:274 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.100015] loop_size:275 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.100738] loop_size:276 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.101460] loop_size:277 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.102175] loop_size:278 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.102900] loop_size:279 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.103621] loop_size:280 >>>> variance(cycles): 2; max_deviation: 52; min time: 44
[  490.104342] loop_size:281 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.105062] loop_size:282 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.105783] loop_size:283 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.106504] loop_size:284 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.107235] loop_size:285 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.107958] loop_size:286 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.108679] loop_size:287 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.109400] loop_size:288 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.110120] loop_size:289 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.110848] loop_size:290 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.111569] loop_size:291 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.112291] loop_size:292 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.113013] loop_size:293 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.113735] loop_size:294 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.114456] loop_size:295 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.115186] loop_size:296 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.115909] loop_size:297 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.116632] loop_size:298 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.117354] loop_size:299 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.118069] loop_size:300 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.118797] loop_size:301 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.119519] loop_size:302 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.120239] loop_size:303 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.120962] loop_size:304 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.121682] loop_size:305 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.122399] loop_size:306 >>>> variance(cycles): 2; max_deviation: 52; min time: 44
[  490.123129] loop_size:307 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.123851] loop_size:308 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.124571] loop_size:309 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.125292] loop_size:310 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.126012] loop_size:311 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.126733] loop_size:312 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.127455] loop_size:313 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.128177] loop_size:314 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.128897] loop_size:315 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.129620] loop_size:316 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.130341] loop_size:317 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.131069] loop_size:318 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.131789] loop_size:319 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.132504] loop_size:320 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.133225] loop_size:321 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.133939] loop_size:322 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.134667] loop_size:323 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.135389] loop_size:324 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
