[ 1667.499007] loop_size:241 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.499377] loop_size:242 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.499748] loop_size:243 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.500119] loop_size:244 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.500488] loop_size:245 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.500857] loop_size:246 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.501239] loop_size:247 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.501611] loop_size:248 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.501980] loop_size:249 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.502351] loop_size:250 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.502719] loop_size:251 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.503090] loop_size:252 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.503460] loop_size:253 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.503833] loop_size:254 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.504205] loop_size:255 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[ 1667.504577] loop_size:256 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.504946] loop_size:257 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.505336] loop_size:258 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.505707] loop_size:259 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.506078] loop_size:260 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.506444] loop_size:261 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.506815] loop_size:262 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.507186] loop_size:263 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.507559] loop_size:264 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.507930] loop_size:265 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.508300] loop_size:266 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.508669] loop_size:267 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.509055] loop_size:268 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.509425] loop_size:269 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.509795] loop_size:270 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.510164] loop_size:271 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
