[  119.258216] loop_size:166 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.258585] loop_size:167 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.258956] loop_size:168 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.259325] loop_size:169 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.259695] loop_size:170 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.260065] loop_size:171 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.260439] loop_size:172 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.260809] loop_size:173 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.261178] loop_size:174 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.261558] loop_size:175 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.261927] loop_size:176 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.262297] loop_size:177 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.262668] loop_size:178 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.263036] loop_size:179 >>>> variance(cycles): 0; max_deviation: 104; min time: 44
[  119.263406] loop_size:180 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.263774] loop_size:181 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.264147] loop_size:182 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.264517] loop_size:183 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.264888] loop_size:184 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.265257] loop_size:185 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.265641] loop_size:186 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.266012] loop_size:187 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.266382] loop_size:188 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.266752] loop_size:189 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.267118] loop_size:190 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.267487] loop_size:191 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.267857] loop_size:192 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.268228] loop_size:193 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.268599] loop_size:194 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.268968] loop_size:195 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.269337] loop_size:196 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.269723] loop_size:197 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.270090] loop_size:198 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.270459] loop_size:199 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.270829] loop_size:200 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.271198] loop_size:201 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.271570] loop_size:202 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.271940] loop_size:203 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.272312] loop_size:204 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.272682] loop_size:205 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.273051] loop_size:206 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.273420] loop_size:207 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.273810] loop_size:208 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.274179] loop_size:209 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.274552] loop_size:210 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.274921] loop_size:211 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.275290] loop_size:212 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.275659] loop_size:213 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.276031] loop_size:214 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.276402] loop_size:215 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.276771] loop_size:216 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.277141] loop_size:217 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.277510] loop_size:218 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.277896] loop_size:219 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.278264] loop_size:220 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.278633] loop_size:221 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.278998] loop_size:222 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.279367] loop_size:223 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.279738] loop_size:224 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.280106] loop_size:225 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.280476] loop_size:226 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.280846] loop_size:227 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.281217] loop_size:228 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
